Supplier Num,Supplier
00,MY
01,SPA
02,KTN
03,BM
04,HAT
05,ESK
06,WR
07,YK
08,TY
09,THL
10,CV
11,SJP
12,SPK
13,SY
14,ANT
15,CP
16,JS
17,CS
18,PJ
19,PPD
20,VAT
21,MS
22,KIS
23,SSM
24,SBK
25,RSR
26,KC
27,TNG
28,VP
29,BK
30,RK
31,OT
32,SMM
33,JJ
34,PT
35,JBS
36,NPK
37,CR
38,SM
39,LEK
40,CRR
41,SL
42,PK
43,NKY
44,AP
45,SML
46,QC
47,SH
48,HDD
49,JC
